panel,indicator,question_answered,category,n,denominator,share,share_percent,denominator_basis
a_source_authority,Source Authority,What kinds of sources support the source corpus?,Municipal sorting rule,88,184,0.4782608695652174,47.82608695652174,All included sources
a_source_authority,Source Authority,What kinds of sources support the source corpus?,Waste operator or treatment-facility rule,40,184,0.217391304347826,21.73913043478261,All included sources
a_source_authority,Source Authority,What kinds of sources support the source corpus?,National rule or policy,25,184,0.1358695652173913,13.58695652173913,All included sources
a_source_authority,Source Authority,What kinds of sources support the source corpus?,"State, provincial, regional, or canton rule",25,184,0.1358695652173913,13.58695652173913,All included sources
a_source_authority,Source Authority,What kinds of sources support the source corpus?,Intermunicipal or regional waste authority,6,184,0.0326086956521739,3.260869565217391,All included sources
b_treatment_route,Stated Organic-waste Treatment Route,What organic-waste collection or treatment route is stated?,Composting,71,184,0.3858695652173913,38.58695652173913,All included sources
b_treatment_route,Stated Organic-waste Treatment Route,What organic-waste collection or treatment route is stated?,Treatment route not stated,71,184,0.3858695652173913,38.58695652173913,All included sources
b_treatment_route,Stated Organic-waste Treatment Route,What organic-waste collection or treatment route is stated?,AD/biogas + composting,26,184,0.1413043478260869,14.130434782608695,All included sources
b_treatment_route,Stated Organic-waste Treatment Route,What organic-waste collection or treatment route is stated?,AD/biogas only,13,184,0.0706521739130434,7.065217391304348,All included sources
b_treatment_route,Stated Organic-waste Treatment Route,What organic-waste collection or treatment route is stated?,Other organic recovery,3,184,0.0163043478260869,1.6304347826086956,All included sources
c_acceptance,Acceptance,How are compostable packaging applications treated in organic-waste systems?,Rejected,83,184,0.4510869565217391,45.10869565217392,All included sources
c_acceptance,Acceptance,How are compostable packaging applications treated in organic-waste systems?,Collection liners only,70,184,0.3804347826086957,38.04347826086956,All included sources
c_acceptance,Acceptance,How are compostable packaging applications treated in organic-waste systems?,No explicit compostable-packaging rule,11,184,0.0597826086956521,5.978260869565218,All included sources
c_acceptance,Acceptance,How are compostable packaging applications treated in organic-waste systems?,Accepted broadly,10,184,0.0543478260869565,5.434782608695652,All included sources
c_acceptance,Acceptance,How are compostable packaging applications treated in organic-waste systems?,No clear organics route,8,184,0.0434782608695652,4.3478260869565215,All included sources
c_acceptance,Acceptance,How are compostable packaging applications treated in organic-waste systems?,Dedicated/controlled route only,2,184,0.0108695652173913,1.0869565217391304,All included sources
d_rejection_rationale,Rejection Rationale,"Among references with a specified rejection/restriction rationale, what reasons are stated?",Compost/digestate quality or contamination concern,46,97,0.4742268041237113,47.422680412371136,Sources with specified rejection/restriction rationale; excludes not-applicable and reason-not-explicitly-stated cases
d_rejection_rationale,Rejection Rationale,"Among references with a specified rejection/restriction rationale, what reasons are stated?",No compatible organic-treatment route,16,97,0.1649484536082474,16.49484536082474,Sources with specified rejection/restriction rationale; excludes not-applicable and reason-not-explicitly-stated cases
d_rejection_rationale,Rejection Rationale,"Among references with a specified rejection/restriction rationale, what reasons are stated?",Slow degradation / residence-time mismatch,11,97,0.1134020618556701,11.34020618556701,Sources with specified rejection/restriction rationale; excludes not-applicable and reason-not-explicitly-stated cases
d_rejection_rationale,Rejection Rationale,"Among references with a specified rejection/restriction rationale, what reasons are stated?",AD/biogas incompatibility,9,97,0.0927835051546391,9.278350515463918,Sources with specified rejection/restriction rationale; excludes not-applicable and reason-not-explicitly-stated cases
d_rejection_rationale,Rejection Rationale,"Among references with a specified rejection/restriction rationale, what reasons are stated?",Explicit no-packaging / positive-list restriction,8,97,0.0824742268041237,8.24742268041237,Sources with specified rejection/restriction rationale; excludes not-applicable and reason-not-explicitly-stated cases
d_rejection_rationale,Rejection Rationale,"Among references with a specified rejection/restriction rationale, what reasons are stated?",Pre-treatment/screening/equipment constraint,7,97,0.0721649484536082,7.216494845360825,Sources with specified rejection/restriction rationale; excludes not-applicable and reason-not-explicitly-stated cases
