country,application_group,n_accepted,n_accepted_with_conditions,n_compatible,n_rejected,n_unclear,n_total_records,cell_text,status,status_value,cluster_value,country_order,cluster_label_raw
Australia,Food-waste liners / collection bags,3,2,5,1,0,6,5/1,Compatible-dominant,3,0.8333333333333334,9,2.0
Australia,Food-service ware / takeaway packaging,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,9,2.0
Australia,Tea/coffee preparation items,0,0,0,3,0,3,0/3,Rejected-dominant,2,0.0,9,2.0
Australia,Food-soiled paper / fibre packaging,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,9,2.0
Australia,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,9,2.0
Australia,Flexible films/wraps/pouches,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,9,2.0
Australia,Generic compostable packaging / plastics,0,0,0,4,0,4,0/4,Rejected-dominant,2,0.0,9,2.0
Austria,Food-waste liners / collection bags,0,0,0,0,0,0,—,No application-level record,0,,30,
Austria,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,30,
Austria,Tea/coffee preparation items,0,0,0,0,0,0,—,No application-level record,0,,30,
Austria,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,30,
Austria,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,30,
Austria,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,30,
Austria,Generic compostable packaging / plastics,0,0,0,0,0,0,—,No application-level record,0,,30,
Belgium,Food-waste liners / collection bags,2,0,2,0,0,2,2/0,Compatible-dominant,3,1.0,7,2.0
Belgium,Food-service ware / takeaway packaging,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,7,2.0
Belgium,Tea/coffee preparation items,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,7,2.0
Belgium,Food-soiled paper / fibre packaging,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,7,2.0
Belgium,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,7,2.0
Belgium,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,7,2.0
Belgium,Generic compostable packaging / plastics,0,0,0,3,0,3,0/3,Rejected-dominant,2,0.0,7,2.0
Canada,Food-waste liners / collection bags,6,2,8,0,0,8,8/0,Compatible-dominant,3,1.0,11,2.0
Canada,Food-service ware / takeaway packaging,0,0,0,3,0,3,0/3,Rejected-dominant,2,0.0,11,2.0
Canada,Tea/coffee preparation items,2,0,2,5,0,7,2/5,Rejected-dominant,2,0.2857142857142857,11,2.0
Canada,Food-soiled paper / fibre packaging,1,0,1,6,0,7,1/6,Rejected-dominant,2,0.14285714285714285,11,2.0
Canada,Shopping/produce bags,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,11,2.0
Canada,Flexible films/wraps/pouches,0,0,0,4,0,4,0/4,Rejected-dominant,2,0.0,11,2.0
Canada,Generic compostable packaging / plastics,2,0,2,10,0,12,2/10,Rejected-dominant,2,0.16666666666666666,11,2.0
Chile,Food-waste liners / collection bags,1,0,1,0,0,1,1/0,Compatible-dominant,3,1.0,15,2.0
Chile,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,15,2.0
Chile,Tea/coffee preparation items,0,0,0,0,0,0,—,No application-level record,0,,15,2.0
Chile,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,15,2.0
Chile,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,15,2.0
Chile,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,15,2.0
Chile,Generic compostable packaging / plastics,0,0,0,0,0,0,—,No application-level record,0,,15,2.0
Costa Rica,Food-waste liners / collection bags,0,0,0,0,0,0,—,No application-level record,0,,31,
Costa Rica,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,31,
Costa Rica,Tea/coffee preparation items,0,0,0,0,0,0,—,No application-level record,0,,31,
Costa Rica,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,31,
Costa Rica,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,31,
Costa Rica,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,31,
Costa Rica,Generic compostable packaging / plastics,0,0,0,0,1,1,u,Unclear only,1,,31,
Czechia,Food-waste liners / collection bags,0,0,0,3,0,3,0/3,Rejected-dominant,2,0.0,2,1.0
Czechia,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,2,1.0
