application_group,certification_sufficiency_status,n
Food-waste liners / collection bags,Certification accepted,19
Food-waste liners / collection bags,Certification conditionally accepted,12
Food-waste liners / collection bags,Certification rejected,15
Food-waste liners / collection bags,Certification unclear or not stated,1
Food-service ware / takeaway packaging,Certification accepted,4
Food-service ware / takeaway packaging,Certification conditionally accepted,0
Food-service ware / takeaway packaging,Certification rejected,14
Food-service ware / takeaway packaging,Certification unclear or not stated,0
Tea/coffee preparation items,Certification accepted,2
Tea/coffee preparation items,Certification conditionally accepted,0
Tea/coffee preparation items,Certification rejected,21
Tea/coffee preparation items,Certification unclear or not stated,0
Food-soiled paper / fibre packaging,Certification accepted,1
Food-soiled paper / fibre packaging,Certification conditionally accepted,0
Food-soiled paper / fibre packaging,Certification rejected,12
Food-soiled paper / fibre packaging,Certification unclear or not stated,0
Shopping/produce bags,Certification accepted,2
Shopping/produce bags,Certification conditionally accepted,0
Shopping/produce bags,Certification rejected,2
Shopping/produce bags,Certification unclear or not stated,1
Flexible films/wraps/pouches,Certification accepted,2
Flexible films/wraps/pouches,Certification conditionally accepted,0
Flexible films/wraps/pouches,Certification rejected,9
Flexible films/wraps/pouches,Certification unclear or not stated,0
Generic compostable packaging / plastics,Certification accepted,6
Generic compostable packaging / plastics,Certification conditionally accepted,0
Generic compostable packaging / plastics,Certification rejected,34
Generic compostable packaging / plastics,Certification unclear or not stated,1
