citation_id,country_or_region,subnational_or_context,source_label,Source Authority,Stated Organic-waste Treatment Route,Treatment Route Coding Note,Acceptance,source_url
[3],Germany,Munich,Germany - Munich - AWM München / municipal sorting rule,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://www.awm-muenchen.de/abfall-entsorgen/abfalllexikon/detailansicht-lexikoneintrag/bioabfall
[5],Germany,Kitzingen district,Germany - Kitzingen district - Landratsamt Kitzingen / regional government guidance,"State, provincial, regional, or canton rule",Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://www.abfallwelt.de/abfaelle/kompostierbare-biomuellbeutel/
[6],Germany,Landkreis Karlsruhe,Germany - Landkreis Karlsruhe - Abfallwirtschaftsbetrieb Landkreis Karlsruhe / waste-company guidance,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Liners only,https://www.awb-landkreis-karlsruhe.de/abfallwirtschaftsbetrieb/abfallverwertung/bioabfall/biobeutel
[7],Germany,Bamberg,Germany - Bamberg - Stadt Bamberg / Biomüll municipal sorting rule,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://www.stadt.bamberg.de/index.php?La=1&mNavID=1829.6&sNavID=1829.450
[9],Netherlands,National,Netherlands - National - Milieu Centraal / government-backed sorting guidance,National rule or policy,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://www.milieucentraal.nl/minder-afval/afval-scheiden/welk-afval-waar/
[15],Netherlands,Limburg South,Netherlands - Limburg South - RD4 / waste-company guidance,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://rd4.nl/biozak
[23],Italy,Veneto / Contarina,Italy - Veneto / Contarina - Contarina / waste-management company,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Broad acceptance,https://contarina.it/impresa/racolta-differenziata/sacchetti-e-imballaggi-in-materiale-compostabile-1
[26],Italy,Monza,Italy - Monza - Comune di Monza / MonzaPulita / municipal sorting rule,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Broad acceptance,https://www.monzapulita.it/interno.php?id=13
[29],Italy,Salerno,Italy - Salerno - Salerno Pulita S.p.A. / waste-company guidance,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://www.salernopulita.it/campagna-bioplastica-compostabile/
[30],Italy,Borgo Virgilio,Italy - Borgo Virgilio - Comune di Borgo Virgilio / municipal sorting rule,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Liners only,https://comune.borgovirgilio.mn.it/it/page/raccolta-organico-sacchetti-biodegradabili-compostabili
