application_type,certification_sufficiency_status,n,application_denominator,share_within_application,denominator_basis
Food-waste liners / collection bags,Certification accepted,19,47,0.40425531914893614,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Food-waste liners / collection bags,Certification conditionally accepted,12,47,0.2553191489361702,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Food-waste liners / collection bags,Certification rejected,15,47,0.3191489361702128,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Food-waste liners / collection bags,Certification unclear or not stated,1,47,0.02127659574468085,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Food-service ware / takeaway packaging,Certification accepted,4,18,0.2222222222222222,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Food-service ware / takeaway packaging,Certification conditionally accepted,0,18,0.0,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Food-service ware / takeaway packaging,Certification rejected,14,18,0.7777777777777778,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Food-service ware / takeaway packaging,Certification unclear or not stated,0,18,0.0,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Tea/coffee preparation items,Certification accepted,2,23,0.08695652173913043,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Tea/coffee preparation items,Certification conditionally accepted,0,23,0.0,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Tea/coffee preparation items,Certification rejected,21,23,0.9130434782608695,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Tea/coffee preparation items,Certification unclear or not stated,0,23,0.0,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Food-soiled paper / fibre packaging,Certification accepted,1,13,0.07692307692307693,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Food-soiled paper / fibre packaging,Certification conditionally accepted,0,13,0.0,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Food-soiled paper / fibre packaging,Certification rejected,12,13,0.9230769230769231,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Food-soiled paper / fibre packaging,Certification unclear or not stated,0,13,0.0,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Shopping/produce bags,Certification accepted,2,5,0.4,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Shopping/produce bags,Certification conditionally accepted,0,5,0.0,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Shopping/produce bags,Certification rejected,2,5,0.4,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Shopping/produce bags,Certification unclear or not stated,1,5,0.2,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Flexible films/wraps/pouches,Certification accepted,2,11,0.18181818181818182,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Flexible films/wraps/pouches,Certification conditionally accepted,0,11,0.0,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Flexible films/wraps/pouches,Certification rejected,9,11,0.8181818181818182,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Flexible films/wraps/pouches,Certification unclear or not stated,0,11,0.0,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Generic compostable packaging / plastics,Certification accepted,6,41,0.14634146341463414,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Generic compostable packaging / plastics,Certification conditionally accepted,0,41,0.0,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Generic compostable packaging / plastics,Certification rejected,34,41,0.8292682926829268,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
Generic compostable packaging / plastics,Certification unclear or not stated,1,41,0.024390243902439025,Certification-relevant source × application-group records for the same application group; this long table is the direct base data for the certification-sufficiency bubble chart.
